model,seed,easy,medium,hard,retried
gpt-4.1-mini,42,0.900,0.500,0.900,0
gpt-4.1-mini,43,0.900,0.917,0.939,1
gpt-4.1-mini,44,0.160,0.908,0.483,0
gpt-4.1,42,0.900,0.900,0.944,0
gpt-4.1,43,0.062,0.138,0.939,0
gpt-4.1,44,0.160,0.908,0.483,0
o4-mini,42,0.912,0.558,0.961,0
o4-mini,43,0.938,0.240,0.906,0
o4-mini,44,0.900,0.908,0.483,0
